Suburb,Price,Method,Date,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
Abbotsford,900000,S,18/03/2017,Yarra,-37.8093,144.9959,Northern Metropolitan,4019
Abbotsford,1090000,S,18/03/2017,Yarra,-37.8078,144.9965,Northern Metropolitan,4019
Abbotsford,500000,S,18/06/2016,Yarra,-37.8015,144.9972,Northern Metropolitan,4019
Abbotsford,1100000,PI,18/06/2016,Yarra,-37.8079,144.9977,Northern Metropolitan,4019
Abbotsford,1315000,S,19/11/2016,Yarra,-37.808,144.994,Northern Metropolitan,4019
Abbotsford,426000,SP,22/08/2016,Yarra,-37.8016,144.9988,Northern Metropolitan,4019
Abbotsford,1447500,PI,22/08/2016,Yarra,-37.8017,145.0001,Northern Metropolitan,4019
Abbotsford,457000,S,22/08/2016,Yarra,-37.8078,144.9965,Northern Metropolitan,4019
Abbotsford,1135000,S,22/08/2016,Yarra,-37.8005,144.9952,Northern Metropolitan,4019
Abbotsford,1542000,S,24/09/2016,Yarra,-37.7994,144.9965,Northern Metropolitan,4019
Abbotsford,1290000,S,25/02/2017,Yarra,-37.805,144.9943,Northern Metropolitan,4019
Abbotsford,1290000,S,25/02/2017,Yarra,-37.8007,144.9958,Northern Metropolitan,4019
Abbotsford,470000,S,26/07/2016,Yarra,-37.8055,144.9961,Northern Metropolitan,4019
Abbotsford,1180000,S,27/11/2016,Yarra,-37.8016,144.9956,Northern Metropolitan,4019
Abbotsford,1195000,SP,27/11/2016,Yarra,-37.8022,144.9954,Northern Metropolitan,4019
Abbotsford,1012500,S,28/05/2016,Yarra,-37.8021,144.9976,Northern Metropolitan,4019
Abbotsford,1030000,S,30/07/2016,Yarra,-37.8086,144.9946,Northern Metropolitan,4019
Abbotsford,1000000,SP,8/04/2017,Yarra,-37.8025,144.9939,Northern Metropolitan,4019
Abbotsford,870000,S,20/05/2017,Yarra,-37.8055,144.9961,Northern Metropolitan,4019
Abbotsford,1050000,S,29/04/2017,Yarra,-37.8099,145.0027,Northern Metropolitan,4019
Abbotsford,1242000,S,29/04/2017,Yarra,-37.8052,144.9963,Northern Metropolitan,4019
Abbotsford,1165000,S,29/04/2017,Yarra,-37.797,144.9957,Northern Metropolitan,4019
Abbotsford,480000,S,17/06/2017,Yarra,-37.80915,145.00066,Northern Metropolitan,4019
Abbotsford,750000,SP,17/06/2017,Yarra,-37.80554,144.99612,Northern Metropolitan,4019
Abbotsford,855000,S,24/06/2017,Yarra,-37.79683,144.99586,Northern Metropolitan,4019
Abbotsford,505000,PI,27/05/2017,Yarra,-37.80206,145.00015,Northern Metropolitan,4019
Abbotsford,1402500,S,27/05/2017,Yarra,-37.8023,144.99615,Northern Metropolitan,4019
Abbotsford,550000,S,8/07/2017,Yarra,-37.8114,145.01163,Northern Metropolitan,4019
Abbotsford,1635000,S,12/08/2017,Yarra,-37.80359,144.99538,Northern Metropolitan,4019
Abbotsford,940000,S,12/08/2017,Yarra,-37.80911,144.99339,Northern Metropolitan,4019
Abbotsford,1375000,S,12/08/2017,Yarra,-37.80125,144.99926,Northern Metropolitan,4019
Abbotsford,1525000,S,12/08/2017,Yarra,-37.80116,145.00066,Northern Metropolitan,4019
Abbotsford,911000,S,22/07/2017,Yarra,-37.80586,144.99499,Northern Metropolitan,4019
Abbotsford,1190000,S,22/07/2017,Yarra,-37.80269,145.0001,Northern Metropolitan,4019
Abbotsford,1000000,PI,19/08/2017,Yarra,-37.80094,144.99569,Northern Metropolitan,4019
Aberfeldie,380000,S,3/12/2016,Moonee Valley,-37.7561,144.9028,Western Metropolitan,1543
Aberfeldie,1646000,S,4/03/2017,Moonee Valley,-37.7606,144.8909,Western Metropolitan,1543
Aberfeldie,442000,S,7/05/2016,Moonee Valley,-37.7589,144.897,Western Metropolitan,1543
Aberfeldie,470000,S,7/05/2016,Moonee Valley,-37.7557,144.9037,Western Metropolitan,1543
Aberfeldie,760000,SP,7/11/2016,Moonee Valley,-37.757,144.896,Western Metropolitan,1543
Aberfeldie,1346000,S,8/10/2016,Moonee Valley,-37.7614,144.8925,Western Metropolitan,1543
Aberfeldie,1300000,S,8/10/2016,Moonee Valley,-37.7617,144.8987,Western Metropolitan,1543
Aberfeldie,935000,SP,10/09/2016,Moonee Valley,-37.7591,144.8923,Western Metropolitan,1543
Aberfeldie,3900000,S,10/12/2016,Moonee Valley,-37.7637,144.8931,Western Metropolitan,1543
Aberfeldie,1160000,S,11/02/2017,Moonee Valley,-37.7642,144.895,Western Metropolitan,1543
Aberfeldie,1150000,PI,11/02/2017,Moonee Valley,-37.7614,144.8953,Western Metropolitan,1543
Aberfeldie,1720000,PI,15/10/2016,Moonee Valley,-37.7632,144.898,Western Metropolitan,1543
Aberfeldie,1705000,S,15/10/2016,Moonee Valley,-37.7587,144.9015,Western Metropolitan,1543
Aberfeldie,1190000,S,17/09/2016,Moonee Valley,-37.7626,144.8954,Western Metropolitan,1543
Aberfeldie,380000,VB,18/03/2017,Moonee Valley,-37.7557,144.8966,Western Metropolitan,1543
Aberfeldie,840000,VB,18/03/2017,Moonee Valley,-37.7604,144.9062,Western Metropolitan,1543
Aberfeldie,1740000,S,18/06/2016,Moonee Valley,-37.759,144.9015,Western Metropolitan,1543
Aberfeldie,1860000,S,19/11/2016,Moonee Valley,-37.7603,144.8921,Western Metropolitan,1543
Aberfeldie,1195000,S,19/11/2016,Moonee Valley,-37.7559,144.8991,Western Metropolitan,1543
Aberfeldie,1200000,VB,19/11/2016,Moonee Valley,-37.7614,144.8953,Western Metropolitan,1543
Aberfeldie,726000,S,24/09/2016,Moonee Valley,-37.7606,144.8973,Western Metropolitan,1543
Aberfeldie,1325000,PI,25/02/2017,Moonee Valley,-37.7617,144.8956,Western Metropolitan,1543
Aberfeldie,1300000,SP,25/02/2017,Moonee Valley,-37.7584,144.8968,Western Metropolitan,1543
Aberfeldie,373000,S,27/11/2016,Moonee Valley,-37.7553,144.8996,Western Metropolitan,1543
Aberfeldie,670000,SP,27/11/2016,Moonee Valley,-37.76,144.9002,Western Metropolitan,1543
Aberfeldie,2400000,S,28/05/2016,Moonee Valley,-37.7548,144.8915,Western Metropolitan,1543
Aberfeldie,1350000,S,28/05/2016,Moonee Valley,-37.7609,144.8905,Western Metropolitan,1543
Aberfeldie,1330000,S,6/05/2017,Moonee Valley,-37.7574,144.8959,Western Metropolitan,1543
Aberfeldie,1300000,S,8/04/2017,Moonee Valley,-37.762,144.8916,Western Metropolitan,1543
Aberfeldie,470000,S,8/04/2017,Moonee Valley,-37.7564,144.9043,Western Metropolitan,1543
Aberfeldie,1740000,PI,29/04/2017,Moonee Valley,-37.7595,144.8993,Western Metropolitan,1543
Aberfeldie,507000,S,3/06/2017,Moonee Valley,-37.75571,144.90366,Western Metropolitan,1543
Aberfeldie,1210000,S,24/06/2017,Moonee Valley,-37.75418,144.89017,Western Metropolitan,1543
Aberfeldie,2905000,S,27/05/2017,Moonee Valley,-37.76181,144.89327,Western Metropolitan,1543
Aberfeldie,1380000,VB,12/08/2017,Moonee Valley,-37.75595,144.90551,Western Metropolitan,1543
Aberfeldie,2050000,SP,22/07/2017,Moonee Valley,-37.76027,144.88954,Western Metropolitan,1543
Aberfeldie,1680000,SP,22/07/2017,Moonee Valley,-37.76316,144.89799,Western Metropolitan,1543
Aberfeldie,280000,VB,22/07/2017,Moonee Valley,-37.75875,144.9027,Western Metropolitan,1543
Aberfeldie,310000,S,22/07/2017,Moonee Valley,-37.75882,144.9027,Western Metropolitan,1543
Aberfeldie,1472000,S,22/07/2017,Moonee Valley,-37.76111,144.89845,Western Metropolitan,1543
Aberfeldie,1436000,S,3/09/2017,Moonee Valley,-37.75788,144.90487,Western Metropolitan,1543
Aberfeldie,1195000,S,9/09/2017,Moonee Valley,-37.75629,144.90626,Western Metropolitan,1543
Aberfeldie,1650000,SP,16/09/2017,Moonee Valley,-37.7609,144.89886,Western Metropolitan,1543
Aberfeldie,1830000,S,23/09/2017,Moonee Valley,-37.7595,144.89427,Western Metropolitan,1543
Airport West,840000,PI,3/09/2016,Moonee Valley,-37.718,144.878,Western Metropolitan,3464
Airport West,730000,VB,3/12/2016,Moonee Valley,-37.7203,144.8755,Western Metropolitan,3464
Airport West,770000,SP,4/03/2017,Moonee Valley,-37.7203,144.8755,Western Metropolitan,3464
Airport West,603000,S,4/03/2017,Moonee Valley,-37.7294,144.888,Western Metropolitan,3464
Airport West,700000,S,4/03/2017,Moonee Valley,-37.7218,144.8837,Western Metropolitan,3464
Airport West,600000,S,4/03/2017,Moonee Valley,-37.7273,144.8744,Western Metropolitan,3464
Airport West,500000,VB,4/03/2017,Moonee Valley,-37.7215,144.8864,Western Metropolitan,3464
Airport West,720000,S,6/08/2016,Moonee Valley,-37.7173,144.8872,Western Metropolitan,3464
Airport West,785000,S,6/08/2016,Moonee Valley,-37.7259,144.8792,Western Metropolitan,3464
Airport West,725000,SP,7/05/2016,Moonee Valley,-37.7239,144.8735,Western Metropolitan,3464
Airport West,450000,S,7/05/2016,Moonee Valley,-37.7216,144.871,Western Metropolitan,3464
Airport West,515000,S,7/11/2016,Moonee Valley,-37.7298,144.8883,Western Metropolitan,3464
Airport West,530000,S,10/09/2016,Moonee Valley,-37.7234,144.8792,Western Metropolitan,3464
Airport West,895000,PI,10/09/2016,Moonee Valley,-37.7249,144.8728,Western Metropolitan,3464
Airport West,805000,S,10/12/2016,Moonee Valley,-37.7217,144.8783,Western Metropolitan,3464
Airport West,752000,S,11/02/2017,Moonee Valley,-37.7302,144.8855,Western Metropolitan,3464
Airport West,440000,S,13/08/2016,Moonee Valley,-37.7177,144.8787,Western Metropolitan,3464
Airport West,755000,PI,14/05/2016,Moonee Valley,-37.7248,144.8699,Western Metropolitan,3464
Airport West,700000,PI,15/10/2016,Moonee Valley,-37.727,144.887,Western Metropolitan,3464
Airport West,830000,S,16/04/2016,Moonee Valley,-37.7186,144.876,Western Metropolitan,3464
Airport West,462500,S,16/07/2016,Moonee Valley,-37.7218,144.8863,Western Metropolitan,3464
Airport West,670000,SP,16/07/2016,Moonee Valley,-37.7269,144.8742,Western Metropolitan,3464
Airport West,675000,S,16/07/2016,Moonee Valley,-37.7187,144.8765,Western Metropolitan,3464
Airport West,1042000,S,16/07/2016,Moonee Valley,-37.7173,144.8796,Western Metropolitan,3464
Airport West,910000,S,17/09/2016,Moonee Valley,-37.7231,144.8835,Western Metropolitan,3464
Airport West,773000,S,17/09/2016,Moonee Valley,-37.7263,144.8679,Western Metropolitan,3464
Airport West,810000,PI,18/03/2017,Moonee Valley,-37.7285,144.8694,Western Metropolitan,3464
Airport West,715000,S,18/03/2017,Moonee Valley,-37.7164,144.8792,Western Metropolitan,3464
Airport West,790000,S,18/03/2017,Moonee Valley,-37.7194,144.8827,Western Metropolitan,3464
Airport West,540000,SP,18/06/2016,Moonee Valley,-37.7231,144.8802,Western Metropolitan,3464
Airport West,825000,SP,19/11/2016,Moonee Valley,-37.72,144.8776,Western Metropolitan,3464
Airport West,685000,S,22/05/2016,Moonee Valley,-37.7226,144.8733,Western Metropolitan,3464
Airport West,805000,S,22/08/2016,Moonee Valley,-37.7184,144.882,Western Metropolitan,3464
Airport West,510000,S,22/08/2016,Moonee Valley,-37.7202,144.8797,Western Metropolitan,3464
Airport West,612000,S,22/08/2016,Moonee Valley,-37.7181,144.8824,Western Metropolitan,3464
Airport West,662000,S,23/04/2016,Moonee Valley,-37.7169,144.8815,Western Metropolitan,3464
Airport West,978000,S,24/09/2016,Moonee Valley,-37.7263,144.869,Western Metropolitan,3464
Airport West,720000,PI,25/02/2017,Moonee Valley,-37.72,144.878,Western Metropolitan,3464
Airport West,765000,S,27/11/2016,Moonee Valley,-37.7261,144.8785,Western Metropolitan,3464
Airport West,900000,S,27/11/2016,Moonee Valley,-37.7256,144.8739,Western Metropolitan,3464
Airport West,872500,S,8/04/2017,Moonee Valley,-37.7203,144.8757,Western Metropolitan,3464
Airport West,720000,S,8/04/2017,Moonee Valley,-37.7284,144.8874,Western Metropolitan,3464
Airport West,985000,S,29/04/2017,Moonee Valley,-37.7251,144.8785,Western Metropolitan,3464
Airport West,510000,VB,29/04/2017,Moonee Valley,-37.7191,144.8857,Western Metropolitan,3464
Airport West,480000,VB,29/04/2017,Moonee Valley,-37.7216,144.8837,Western Metropolitan,3464
Airport West,640000,S,1/07/2017,Moonee Valley,-37.71655,144.88155,Western Metropolitan,3464
Airport West,961000,S,1/07/2017,Moonee Valley,-37.72274,144.88002,Western Metropolitan,3464
Airport West,845000,S,3/06/2017,Moonee Valley,-37.72207,144.87905,Western Metropolitan,3464
Airport West,1250000,S,3/06/2017,Moonee Valley,-37.72265,144.8793,Western Metropolitan,3464
Airport West,1026000,S,3/06/2017,Moonee Valley,-37.72623,144.86773,Western Metropolitan,3464
Airport West,850000,S,3/06/2017,Moonee Valley,-37.72649,144.88489,Western Metropolitan,3464
Airport West,730000,S,17/06/2017,Moonee Valley,-37.72893,144.88859,Western Metropolitan,3464
Airport West,737500,SP,24/06/2017,Moonee Valley,-37.72967,144.88835,Western Metropolitan,3464
Airport West,905000,S,24/06/2017,Moonee Valley,-37.72908,144.88327,Western Metropolitan,3464
Airport West,650000,S,27/05/2017,Moonee Valley,-37.71811,144.87693,Western Metropolitan,3464
Airport West,856000,S,27/05/2017,Moonee Valley,-37.71917,144.87819,Western Metropolitan,3464
Airport West,670000,S,8/07/2017,Moonee Valley,-37.72752,144.88358,Western Metropolitan,3464
Airport West,700000,VB,12/08/2017,Moonee Valley,-37.73351,144.88749,Western Metropolitan,3464
Airport West,950000,S,12/08/2017,Moonee Valley,-37.72572,144.86848,Western Metropolitan,3464
Airport West,454000,S,22/07/2017,Moonee Valley,-37.72158,144.8801,Western Metropolitan,3464
Airport West,780000,S,29/07/2017,Moonee Valley,-37.7325,144.88272,Western Metropolitan,3464
Airport West,1000001,S,9/09/2017,Moonee Valley,-37.72812,144.88735,Western Metropolitan,3464
Airport West,1064000,S,9/09/2017,Moonee Valley,-37.7218,144.88391,Western Metropolitan,3464
Airport West,860000,S,23/09/2017,Moonee Valley,-37.72057,144.87558,Western Metropolitan,3464
Airport West,850000,S,23/09/2017,Moonee Valley,-37.72739,144.88235,Western Metropolitan,3464
Airport West,975500,S,26/08/2017,Moonee Valley,-37.73254,144.88321,Western Metropolitan,3464
Airport West,880000,S,26/08/2017,Moonee Valley,-37.71919,144.87842,Western Metropolitan,3464
Albanvale,526500,S,24/06/2017,Brimbank,-37.7438,144.77059,Western Metropolitan,1899
Albanvale,415000,SP,12/08/2017,Brimbank,-37.74839,144.7735,Western Metropolitan,1899
Albanvale,655000,S,15/07/2017,Brimbank,-37.74373,144.77567,Western Metropolitan,1899
Albanvale,555000,SP,29/07/2017,Brimbank,-37.74306,144.76679,Western Metropolitan,1899
Albanvale,506000,S,19/08/2017,Brimbank,-37.74965,144.77009,Western Metropolitan,1899
Albanvale,565000,S,23/09/2017,Brimbank,-37.74521,144.76863,Western Metropolitan,1899
Albert Park,1275000,S,3/09/2016,Port Phillip,-37.8459,144.9555,Southern Metropolitan,3280
Albert Park,1455000,S,3/09/2016,Port Phillip,-37.845,144.9538,Southern Metropolitan,3280
Albert Park,2850000,PI,4/03/2017,Port Phillip,-37.8481,144.9499,Southern Metropolitan,3280
Albert Park,1850000,S,4/03/2017,Port Phillip,-37.8452,144.9488,Southern Metropolitan,3280
Albert Park,1436000,S,4/03/2017,Port Phillip,-37.8431,144.9565,Southern Metropolitan,3280
Albert Park,1110000,S,6/08/2016,Port Phillip,-37.8444,144.9484,Southern Metropolitan,3280
Albert Park,1550000,S,7/05/2016,Port Phillip,-37.8405,144.9521,Southern Metropolitan,3280
Albert Park,2300000,S,7/05/2016,Port Phillip,-37.8447,144.9523,Southern Metropolitan,3280
Albert Park,1550000,VB,7/11/2016,Port Phillip,-37.8443,144.9598,Southern Metropolitan,3280
Albert Park,1800000,VB,7/11/2016,Port Phillip,-37.8415,144.952,Southern Metropolitan,3280
Albert Park,2120000,S,10/09/2016,Port Phillip,-37.8422,144.9554,Southern Metropolitan,3280
Albert Park,1800000,VB,10/09/2016,Port Phillip,-37.8443,144.9579,Southern Metropolitan,3280
Albert Park,1800000,S,10/09/2016,Port Phillip,-37.8421,144.9571,Southern Metropolitan,3280
Albert Park,1810000,PI,10/12/2016,Port Phillip,-37.8379,144.9539,Southern Metropolitan,3280
Albert Park,2615000,S,10/12/2016,Port Phillip,-37.8415,144.9585,Southern Metropolitan,3280
Albert Park,2100000,S,10/12/2016,Port Phillip,-37.8436,144.9557,Southern Metropolitan,3280
Albert Park,1300000,S,10/12/2016,Port Phillip,-37.8422,144.949,Southern Metropolitan,3280
Albert Park,1370000,S,12/06/2016,Port Phillip,-37.8451,144.9511,Southern Metropolitan,3280
Albert Park,1000000,S,12/11/2016,Port Phillip,-37.8407,144.9523,Southern Metropolitan,3280
Albert Park,2575000,S,15/10/2016,Port Phillip,-37.8445,144.9501,Southern Metropolitan,3280
Albert Park,1322500,S,15/10/2016,Port Phillip,-37.8443,144.9481,Southern Metropolitan,3280
Albert Park,1562500,S,15/10/2016,Port Phillip,-37.8424,144.9562,Southern Metropolitan,3280
Albert Park,2000000,VB,16/04/2016,Port Phillip,-37.847,144.9575,Southern Metropolitan,3280
Albert Park,1900000,S,18/03/2017,Port Phillip,-37.8468,144.9546,Southern Metropolitan,3280
Albert Park,3010000,S,18/03/2017,Port Phillip,-37.8473,144.9551,Southern Metropolitan,3280
Albert Park,2800000,VB,18/06/2016,Port Phillip,-37.8467,144.9475,Southern Metropolitan,3280
Albert Park,647000,S,22/05/2016,Port Phillip,-37.846,144.9542,Southern Metropolitan,3280
Albert Park,2100000,SP,23/04/2016,Port Phillip,-37.8427,144.9546,Southern Metropolitan,3280
Albert Park,2000000,PI,24/09/2016,Port Phillip,-37.8461,144.9528,Southern Metropolitan,3280
Albert Park,442500,S,25/02/2017,Port Phillip,-37.8421,144.9517,Southern Metropolitan,3280
Albert Park,4735000,S,25/02/2017,Port Phillip,-37.8477,144.9558,Southern Metropolitan,3280
Albert Park,1340000,S,25/02/2017,Port Phillip,-37.846,144.9517,Southern Metropolitan,3280
Albert Park,1801000,S,25/02/2017,Port Phillip,-37.8429,144.9493,Southern Metropolitan,3280
Albert Park,1532000,S,26/07/2016,Port Phillip,-37.8415,144.9585,Southern Metropolitan,3280
Albert Park,3755000,S,26/07/2016,Port Phillip,-37.8413,144.95,Southern Metropolitan,3280
Albert Park,2140000,S,27/06/2016,Port Phillip,-37.8434,144.9495,Southern Metropolitan,3280
Albert Park,1750000,S,27/11/2016,Port Phillip,-37.8416,144.9488,Southern Metropolitan,3280
Albert Park,980000,S,28/05/2016,Port Phillip,-37.8387,144.9519,Southern Metropolitan,3280
Albert Park,2030000,S,28/08/2016,Port Phillip,-37.8488,144.9551,Southern Metropolitan,3280
Albert Park,1740000,PI,28/08/2016,Port Phillip,-37.8448,144.9453,Southern Metropolitan,3280
Albert Park,2800000,VB,30/07/2016,Port Phillip,-37.8399,144.9577,Southern Metropolitan,3280
Albert Park,985000,S,30/07/2016,Port Phillip,-37.8411,144.9497,Southern Metropolitan,3280
Albert Park,1700000,VB,6/05/2017,Port Phillip,-37.8473,144.9495,Southern Metropolitan,3280
Albert Park,1100000,PI,8/04/2017,Port Phillip,-37.8487,144.9511,Southern Metropolitan,3280
Albert Park,2155000,S,8/04/2017,Port Phillip,-37.8453,144.949,Southern Metropolitan,3280
Albert Park,2115000,PI,8/04/2017,Port Phillip,-37.8426,144.9563,Southern Metropolitan,3280
Albert Park,2810000,S,8/04/2017,Port Phillip,-37.8441,144.9522,Southern Metropolitan,3280
Albert Park,2130000,S,13/05/2017,Port Phillip,-37.8436,144.9558,Southern Metropolitan,3280
Albert Park,2950000,S,20/05/2017,Port Phillip,-37.8459,144.9574,Southern Metropolitan,3280
Albert Park,2150000,S,20/05/2017,Port Phillip,-37.8473,144.955,Southern Metropolitan,3280
Albert Park,2035000,SP,29/04/2017,Port Phillip,-37.8435,144.9538,Southern Metropolitan,3280
Albert Park,1500000,S,29/04/2017,Port Phillip,-37.8441,144.9598,Southern Metropolitan,3280
Albert Park,1190000,S,29/04/2017,Port Phillip,-37.8445,144.9489,Southern Metropolitan,3280
Albert Park,1535000,S,1/07/2017,Port Phillip,-37.8481,144.9566,Southern Metropolitan,3280
Albert Park,2905000,S,3/06/2017,Port Phillip,-37.84583,144.95658,Southern Metropolitan,3280
Albert Park,1380000,S,3/06/2017,Port Phillip,-37.84763,144.95175,Southern Metropolitan,3280
Albert Park,2500000,VB,3/06/2017,Port Phillip,-37.84152,144.95027,Southern Metropolitan,3280
Albert Park,2120000,S,3/06/2017,Port Phillip,-37.84396,144.95659,Southern Metropolitan,3280
Albert Park,2015000,S,3/06/2017,Port Phillip,-37.84098,144.95115,Southern Metropolitan,3280
Albert Park,685000,PI,24/06/2017,Port Phillip,-37.84469,144.95578,Southern Metropolitan,3280
Albert Park,1800000,VB,24/06/2017,Port Phillip,-37.842,144.95601,Southern Metropolitan,3280
Albert Park,1505000,S,27/05/2017,Port Phillip,-37.84587,144.94828,Southern Metropolitan,3280
Albert Park,1900000,S,27/05/2017,Port Phillip,-37.84431,144.95532,Southern Metropolitan,3280
Albert Park,3560000,S,8/07/2017,Port Phillip,-37.84118,144.95023,Southern Metropolitan,3280
Albert Park,1960000,S,16/09/2017,Port Phillip,-37.84662,144.95675,Southern Metropolitan,3280
Albert Park,2550000,S,19/08/2017,Port Phillip,-37.84663,144.95681,Southern Metropolitan,3280
Albert Park,2100000,VB,23/09/2017,Port Phillip,-37.84388,144.95303,Southern Metropolitan,3280
Albert Park,2340000,S,26/08/2017,Port Phillip,-37.84398,144.95044,Southern Metropolitan,3280
Albert Park,2225000,S,26/08/2017,Port Phillip,-37.84479,144.94429,Southern Metropolitan,3280
Albion,765000,SA,4/02/2016,Brimbank,-37.7812,144.8121,Western Metropolitan,2185
Albion,730000,S,4/03/2017,Brimbank,-37.7801,144.8121,Western Metropolitan,2185
Albion,730000,S,4/03/2017,Brimbank,-37.7778,144.818,Western Metropolitan,2185
Albion,593000,SP,4/06/2016,Brimbank,-37.7792,144.8117,Western Metropolitan,2185
Albion,816000,S,10/09/2016,Brimbank,-37.7825,144.8221,Western Metropolitan,2185
Albion,720000,S,10/12/2016,Brimbank,-37.7801,144.8229,Western Metropolitan,2185
Albion,300000,PI,11/02/2017,Brimbank,-37.7836,144.8256,Western Metropolitan,2185
Albion,670000,S,15/10/2016,Brimbank,-37.7835,144.8176,Western Metropolitan,2185
Albion,685000,S,18/03/2017,Brimbank,-37.7765,144.8175,Western Metropolitan,2185
Albion,600000,SP,22/05/2016,Brimbank,-37.7795,144.8204,Western Metropolitan,2185
Albion,600000,VB,22/05/2016,Brimbank,-37.7842,144.8175,Western Metropolitan,2185
Albion,185000,S,22/08/2016,Brimbank,-37.7852,144.8272,Western Metropolitan,2185
Albion,463000,S,24/09/2016,Brimbank,-37.7761,144.8164,Western Metropolitan,2185
Albion,319000,SP,24/09/2016,Brimbank,-37.7796,144.8252,Western Metropolitan,2185
Albion,660000,S,25/02/2017,Brimbank,-37.7795,144.8196,Western Metropolitan,2185
Albion,560000,S,25/02/2017,Brimbank,-37.7848,144.8231,Western Metropolitan,2185
Albion,625000,SP,25/02/2017,Brimbank,-37.7808,144.8186,Western Metropolitan,2185
Albion,791000,S,25/02/2017,Brimbank,-37.7817,144.8159,Western Metropolitan,2185
Albion,541000,S,27/06/2016,Brimbank,-37.7806,144.8159,Western Metropolitan,2185
Albion,760000,S,27/11/2016,Brimbank,-37.7789,144.8209,Western Metropolitan,2185
Albion,840000,S,27/11/2016,Brimbank,-37.7809,144.8228,Western Metropolitan,2185
Albion,145000,PI,28/05/2016,Brimbank,-37.7833,144.8266,Western Metropolitan,2185
Albion,460000,S,30/07/2016,Brimbank,-37.7813,144.8234,Western Metropolitan,2185
Albion,190000,SP,30/07/2016,Brimbank,-37.7839,144.8239,Western Metropolitan,2185
Albion,800000,S,8/04/2017,Brimbank,-37.7776,144.8167,Western Metropolitan,2185
Albion,420000,S,13/05/2017,Brimbank,-37.7832,144.8275,Western Metropolitan,2185
Albion,700000,S,13/05/2017,Brimbank,-37.7841,144.8169,Western Metropolitan,2185
Albion,580000,PI,13/05/2017,Brimbank,-37.7798,144.8156,Western Metropolitan,2185
Albion,200000,VB,20/05/2017,Brimbank,-37.7849,144.8272,Western Metropolitan,2185
Albion,621000,S,20/05/2017,Brimbank,-37.7765,144.8123,Western Metropolitan,2185
Albion,600000,SA,20/05/2017,Brimbank,-37.7815,144.8128,Western Metropolitan,2185
Albion,570000,S,1/07/2017,Brimbank,-37.77917,144.82223,Western Metropolitan,2185
Albion,787000,S,3/06/2017,Brimbank,-37.77917,144.81407,Western Metropolitan,2185
Albion,820000,S,17/06/2017,Brimbank,-37.77967,144.81275,Western Metropolitan,2185
Albion,600000,SA,27/05/2017,Brimbank,-37.77976,144.81559,Western Metropolitan,2185
Albion,613000,S,29/07/2017,Brimbank,-37.78141,144.82462,Western Metropolitan,2185
Albion,340000,S,29/07/2017,Brimbank,-37.77956,144.82519,Western Metropolitan,2185
Albion,580000,PI,29/07/2017,Brimbank,-37.77856,144.82443,Western Metropolitan,2185
Albion,905000,S,3/09/2017,Brimbank,-37.78345,144.82295,Western Metropolitan,2185
Albion,675000,S,9/09/2017,Brimbank,-37.77933,144.81679,Western Metropolitan,2185
Albion,760000,S,23/09/2017,Brimbank,-37.78036,144.8195,Western Metropolitan,2185
Alphington,2000000,S,3/09/2016,Darebin,-37.7707,145.0318,Northern Metropolitan,2211
